,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Havøysund,70.9963,24.6622,269.15,74,40,6.69,NO,1612631391
140,Menongue,-14.6585,17.691,296.64,75,100,1.43,AO,1612631429
141,Hithadhoo,-0.6,73.0833,300.94,76,100,6.75,MV,1612631431
142,Palana,59.1167,159.9667,261.51,93,100,5.9,RU,1612631432
143,Wattegama,6.7989,81.4808,295.84,95,95,2.26,LK,1612631434
144,Port Elizabeth,-33.918,25.5701,295.15,88,75,4.12,ZA,1612631436
145,Sungai Penuh,-2.0833,101.3833,291.43,87,93,1.49,ID,1612631437
146,Boké,10.9409,-14.2967,311.23,10,40,4.4,GN,1612631439
147,Lukovetskiy,64.2956,41.9211,259.15,78,40,3.0,RU,1612631441
148,Saint Paul Harbor,57.79,-152.4072,271.15,59,1,2.06,US,1612631387
149,Niamey,13.5137,2.1098,307.15,7,96,4.12,NE,1612631444
150,Ust-Kuyga,70.0167,135.6,240.23,83,100,1.36,RU,1612631446
151,Araouane,18.9048,-3.5265,302.9,14,100,6.49,ML,1612631447
152,Atambua,-9.1061,124.8925,296.3,88,100,0.19,ID,1612631449
153,Souillac,-20.5167,57.5167,299.15,83,20,2.57,MU,1612631450
154,Piracanjuba,-17.3028,-49.0167,299.98,81,53,2.99,BR,1612631452
155,Cidreira,-30.1811,-50.2056,297.56,62,56,4.65,BR,1612631391
156,Vao,-22.6667,167.4833,298.26,87,1,3.61,NC,1612631401
157,Doha,25.2867,51.5333,294.26,78,0,3.09,QA,1612631263
158,Saint Anthony,45.0205,-93.218,255.15,60,90,8.23,US,1612631458
159,Acajutla,13.5928,-89.8275,301.15,54,20,1.03,SV,1612631460
160,Nanortalik,60.1432,-45.2371,268.91,79,0,2.15,GL,1612631462
161,Celestún,20.8667,-90.4,299.58,65,30,3.57,MX,1612631441
162,Mahébourg,-20.4081,57.7,299.15,83,20,2.57,MU,1612631465
163,San Cristobal,7.7669,-72.225,295.71,77,100,2.28,VE,1612631466
164,Yulara,-25.2406,130.9889,297.15,35,18,3.09,AU,1612631468
